Race	Gender	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	tag
Asian	M	false	1	True	False	0	True	False	F	F	F	True	T	1	T	1	True	1	1	0	True	True
American	female	F	True	false	false	False	1	1	T	0	false	false	1	F	T	1	F	1	false	F	F	False
Asian	female	False	false	F	False	0	0	0	0	false	False	True	False	True	false	False	False	1	True	1	false	False
American	F	False	F	False	False	False	False	false	false	True	False	F	0	True	0	1	T	F	false	1	1	False
Asian	female	True	false	True	False	True	F	F	0	True	1	0	0	True	0	T	false	F	1	false	false	False
European	female	false	T	T	False	False	0	1	True	1	True	F	1	1	0	True	T	False	false	F	False	True
African	female	0	True	True	False	1	True	T	1	True	T	false	0	F	True	1	T	T	T	1	F	False
asian	M	1	T	T	False	1	T	T	F	1	false	F	1	0	T	1	T	0	True	false	false	False
asian	M	0	F	False	False	1	1	True	False	T	False	T	F	F	F	F	0	0	1	false	0	True
Asian	female	True	1	1	False	F	False	0	T	F	F	1	T	F	false	True	T	False	F	false	1	True
American	M	0	T	False	False	1	T	T	T	1	T	1	F	F	True	F	false	False	F	F	False	True
asian	F	False	T	T	False	True	F	1	0	0	1	0	0	0	True	True	0	1	1	0	F	True
European	F	False	1	T	False	T	false	True	false	1	True	false	False	0	false	F	False	false	True	F	True	True
asian	F	T	false	True	False	True	false	False	1	0	1	false	True	True	F	0	false	0	True	True	1	True
American	F	True	True	T	T	T	F	False	0	F	T	T	True	True	True	1	false	0	false	F	false	True
European	F	T	T	false	False	1	false	false	True	false	True	false	T	F	false	False	false	True	True	F	True	True
African	F	T	0	True	False	false	True	false	false	F	0	F	True	False	T	F	False	1	T	False	1	False
African	female	T	false	F	False	false	1	T	T	T	1	0	T	F	T	1	True	1	false	0	1	False
asian	female	false	False	T	False	T	T	F	True	T	F	1	True	F	1	T	F	False	false	1	false	True
asian	female	True	false	T	False	True	1	1	1	0	False	0	0	True	True	0	T	T	false	false	F	True
asian	F	1	True	F	False	0	False	T	False	True	True	0	T	T	false	false	True	T	F	True	False	True
African	M	T	T	1	False	1	1	false	True	False	1	False	True	false	1	0	T	False	F	false	T	False
Asian	M	false	F	0	False	True	F	T	False	1	T	False	True	0	False	1	False	False	T	True	0	True
European	M	0	F	1	False	T	False	True	false	false	F	T	F	F	False	T	True	True	False	True	T	False
American	female	false	0	F	F	T	True	1	false	False	0	0	T	0	false	False	F	0	True	0	True	True
African	F	0	0	True	False	F	0	false	False	F	False	1	0	False	False	0	False	0	False	F	False	False
European	F	false	0	false	False	1	F	T	False	F	False	F	False	F	F	False	false	T	F	0	1	False
Asian	F	1	0	True	False	0	True	0	F	0	True	F	False	1	False	False	0	false	T	False	T	True
asian	F	False	True	True	False	T	False	True	false	True	True	0	F	0	F	True	false	1	1	0	T	True
European	female	True	T	F	False	True	F	1	0	True	false	False	0	0	F	false	F	false	0	false	1	True
asian	female	0	false	False	False	false	T	F	0	True	T	1	T	True	1	True	F	T	False	1	True	True
European	F	false	True	1	False	T	0	false	F	F	False	False	1	false	True	False	false	T	F	False	T	False
African	M	0	0	F	False	0	False	F	false	True	false	false	T	1	0	false	False	false	false	false	0	True
African	female	True	1	True	False	False	False	False	True	false	True	F	1	T	1	1	True	0	False	True	false	True
European	F	F	F	1	False	1	True	False	F	1	0	T	0	false	True	false	0	True	1	false	0	False
asian	M	False	True	T	False	1	T	false	1	False	True	False	false	True	0	false	1	False	F	T	False	True
Asian	F	T	1	T	False	1	False	True	1	F	0	false	1	T	True	F	false	0	0	0	False	True
African	M	1	1	T	False	T	True	False	F	0	F	false	False	T	1	T	false	True	false	false	False	False
American	F	F	F	F	F	False	1	False	True	false	1	T	0	F	1	F	1	T	F	F	T	True
European	female	1	False	F	False	false	F	1	False	False	T	True	False	False	False	True	false	0	false	false	F	False
African	M	1	F	false	False	F	1	False	True	0	False	T	0	1	False	1	False	False	0	1	False	False
asian	M	1	false	False	False	1	False	false	F	false	false	False	T	1	false	T	True	1	T	false	0	False
Asian	M	F	False	True	False	F	1	True	T	T	F	0	True	True	false	false	1	True	0	T	False	True
European	F	0	T	False	False	0	False	T	1	T	0	F	False	1	1	F	1	T	T	T	1	False
European	female	false	0	False	False	True	0	False	1	1	false	False	T	0	True	False	F	True	1	0	1	True
asian	female	T	F	T	False	True	T	false	0	True	0	T	F	T	F	1	T	False	false	1	0	True
European	F	1	True	T	False	1	F	0	1	false	False	True	F	False	0	F	F	True	T	1	1	True
American	female	True	1	F	F	false	false	F	True	True	F	false	false	false	1	T	F	F	T	F	false	False
asian	female	T	0	0	False	True	True	F	True	1	0	F	False	F	True	1	false	0	False	F	false	True
African	M	False	false	True	False	false	True	T	false	F	0	F	False	false	1	F	T	False	T	F	false	False
Asian	female	True	false	false	False	false	0	false	F	True	T	F	F	false	T	F	False	False	F	True	1	True
European	female	F	False	F	False	false	1	false	True	T	F	False	false	T	1	F	false	false	False	True	False	True
American	female	False	F	False	False	false	T	True	T	false	false	1	T	false	false	True	F	false	false	0	T	False
asian	F	1	T	T	False	0	0	0	T	True	false	T	1	True	False	T	0	False	T	1	1	False
asian	F	True	T	T	False	True	1	F	True	True	False	false	T	False	True	false	T	True	0	True	False	True
Asian	F	True	True	T	False	T	F	T	False	True	False	0	False	F	T	True	True	1	false	True	True	False
asian	F	0	F	1	False	false	false	false	False	false	T	True	1	1	False	F	F	1	T	F	T	False
Asian	female	1	false	false	False	1	T	T	False	0	F	T	0	0	1	True	0	True	False	0	0	True
asian	F	F	False	1	False	0	F	0	T	0	F	True	True	0	True	1	0	True	0	false	F	False
Asian	female	false	F	F	False	T	T	True	0	false	F	F	0	1	T	F	false	0	T	1	0	False
American	M	F	false	1	1	1	1	True	True	false	false	True	False	F	True	T	False	false	1	True	1	True
Asian	M	1	T	F	False	True	T	0	True	1	1	F	True	T	T	F	0	False	T	false	1	False
European	F	1	false	True	False	True	1	1	false	False	false	T	0	1	false	True	T	0	false	false	F	True
Asian	M	1	F	True	False	false	F	True	F	F	True	false	F	0	False	True	false	F	1	True	T	True
Asian	F	T	True	1	False	F	F	1	T	false	1	False	false	F	F	0	False	false	1	True	1	True
American	F	0	True	False	False	0	1	T	1	T	False	1	1	False	false	T	True	F	T	False	0	True
American	F	T	false	False	False	F	T	0	False	0	True	T	0	0	false	True	0	False	false	F	false	True
asian	female	1	F	False	False	0	0	false	0	True	True	False	false	0	True	1	1	T	False	False	True	True
European	F	True	0	True	False	False	True	false	False	0	True	false	false	False	false	0	False	1	false	True	false	False
European	M	false	0	false	False	F	False	T	1	false	false	True	F	False	0	False	false	1	T	False	0	False
European	female	T	T	F	False	F	T	1	False	1	1	false	True	F	false	True	0	false	1	F	0	False
African	F	1	0	T	False	F	false	false	True	1	false	T	T	F	True	1	True	F	0	false	False	False
Asian	F	false	1	F	False	T	True	1	F	F	True	True	0	False	0	False	false	1	F	False	1	False
European	F	F	F	0	False	F	True	1	0	True	False	1	false	F	0	True	false	False	F	True	false	True
asian	F	1	False	1	False	0	F	false	True	True	T	0	0	false	1	False	False	0	F	false	T	True
Asian	F	T	0	false	False	T	false	1	1	T	False	True	T	T	F	1	True	False	True	False	false	False
European	F	1	False	True	False	false	T	True	T	0	1	False	False	F	1	false	T	1	0	1	T	False
European	M	1	0	False	False	T	false	T	F	T	F	False	1	F	False	T	false	0	F	False	True	False
asian	F	F	false	True	False	False	F	T	F	T	False	F	1	false	F	1	F	1	False	False	F	True
African	M	False	True	False	False	F	F	F	T	0	True	F	false	0	False	T	T	false	false	True	False	False
European	F	1	True	False	False	True	1	false	F	0	True	1	F	False	0	T	1	1	0	T	T	False
European	M	True	F	T	False	1	0	1	0	F	1	True	0	0	F	false	False	0	false	0	false	False
Asian	F	1	F	F	False	T	T	1	F	1	false	0	false	T	0	False	True	True	T	0	T	True
American	female	T	F	T	T	True	True	false	false	True	F	False	False	false	F	F	T	0	F	False	False	False
Asian	F	F	false	F	False	True	F	false	1	True	false	false	1	T	True	True	false	false	False	T	False	True
Asian	female	1	F	True	False	false	T	1	1	T	True	false	True	True	True	F	false	false	1	0	0	False
American	M	1	false	T	T	F	F	0	1	false	1	T	T	T	0	0	T	T	True	False	false	True
European	M	False	T	True	False	F	False	False	False	True	1	1	1	True	1	F	0	F	0	false	false	False
Asian	M	false	1	1	False	0	1	F	True	F	True	false	0	False	True	false	false	False	1	True	0	True
American	F	T	F	F	F	False	1	0	False	True	1	1	False	F	false	F	T	T	T	T	False	True
Asian	M	False	F	1	False	T	0	True	False	F	1	false	1	False	0	1	False	True	F	False	False	True
European	F	1	T	1	False	false	0	True	false	F	False	1	1	false	T	False	T	False	T	T	True	False
African	M	1	false	F	False	False	False	F	1	0	0	F	0	True	True	T	1	T	false	1	0	False
Asian	female	True	1	F	False	True	True	F	T	false	True	T	false	0	False	True	1	false	False	0	T	False
Asian	M	T	False	False	False	True	False	0	True	0	T	0	F	False	False	False	0	F	False	False	False	True
European	M	True	False	0	False	False	T	false	T	T	0	F	0	0	false	F	F	0	0	True	1	False
asian	F	False	F	True	False	T	0	T	1	false	F	False	0	F	True	false	True	F	0	False	1	True
European	F	1	True	false	False	F	false	False	False	True	0	1	false	T	False	0	false	T	false	False	T	True
African	M	T	False	false	False	0	T	1	false	False	1	T	F	F	False	1	True	True	false	1	0	False
European	female	1	1	F	False	T	T	F	0	0	True	F	F	false	T	True	false	F	False	F	False	False
European	female	True	false	F	False	False	1	T	false	False	0	1	T	T	F	False	T	T	True	false	False	False
European	female	False	True	1	False	0	T	0	0	T	True	False	T	0	1	0	True	False	false	True	false	False
American	female	1	F	False	False	T	False	True	T	false	0	F	False	T	True	T	True	false	False	0	1	True
asian	M	True	0	False	False	0	false	0	False	F	F	F	True	T	1	T	False	T	1	T	0	True
Asian	F	0	0	F	False	1	F	False	False	F	false	0	1	True	False	0	false	1	True	false	False	True
asian	M	F	false	false	False	T	1	T	T	True	T	F	True	1	0	T	F	False	False	0	false	False
African	female	T	0	F	False	T	F	True	True	T	True	false	False	false	False	T	0	1	false	F	T	False
American	F	T	False	1	1	True	0	false	True	False	False	false	0	false	False	F	True	F	T	F	F	True
asian	F	T	false	0	False	True	false	True	False	false	false	True	T	false	F	False	False	T	True	F	T	True
Asian	M	F	False	True	False	F	false	1	0	T	false	1	0	T	0	False	false	false	T	False	True	False
European	female	false	1	false	False	F	T	F	0	0	1	F	T	T	False	T	0	false	F	F	0	False
American	M	0	T	0	0	false	false	0	False	false	1	F	false	0	1	False	True	False	F	F	True	False
American	female	false	1	T	T	True	0	T	F	T	0	1	T	0	True	True	false	false	F	True	False	False
American	F	false	F	True	True	T	0	1	F	False	false	False	False	True	0	False	0	True	0	F	1	False
African	M	F	0	1	False	False	F	F	F	F	T	false	1	True	False	0	T	0	True	F	T	False
American	female	1	True	1	1	T	True	1	T	True	0	1	T	false	0	T	1	0	F	false	0	True
American	M	False	True	T	T	1	T	True	1	1	False	1	0	T	1	1	False	1	T	0	T	False
American	F	True	false	False	False	True	False	F	False	false	T	False	0	T	False	false	True	1	T	false	True	True
asian	M	1	False	T	False	True	0	True	false	1	False	false	false	1	True	T	0	1	0	0	T	True
Asian	female	false	1	False	False	True	False	1	0	F	1	True	True	1	T	F	T	F	0	1	True	True
Asian	female	F	0	F	False	F	False	False	True	F	T	True	false	F	T	1	T	True	True	false	True	True
American	M	false	False	F	F	0	1	F	False	False	False	0	1	True	F	F	F	0	False	F	false	True
asian	M	0	1	false	False	False	True	1	False	false	F	False	0	F	1	F	0	F	0	T	1	True
Asian	female	F	0	false	False	0	False	True	1	T	F	false	false	1	False	True	True	0	T	T	0	True
European	female	T	F	True	False	False	false	1	T	F	1	1	0	True	True	1	0	1	T	false	false	False
asian	F	1	F	1	False	True	F	false	false	True	false	F	False	True	false	1	1	T	False	F	False	False
Asian	female	1	0	T	False	0	True	0	T	0	false	false	F	F	F	True	1	false	false	0	True	True
African	M	False	False	True	False	T	T	T	False	True	False	True	False	0	1	F	False	0	False	0	false	False
asian	M	T	F	0	False	0	false	1	F	F	False	false	F	F	False	1	0	false	True	false	false	True
European	female	0	F	false	False	1	True	0	False	0	False	F	False	False	True	False	false	True	1	T	False	False
asian	F	False	True	F	False	F	1	0	T	T	F	True	0	false	0	F	F	false	1	false	false	True
African	M	False	F	True	False	T	F	0	F	F	0	T	True	F	1	F	F	false	False	True	0	False
European	female	false	False	false	False	False	T	True	True	false	F	false	F	1	false	false	T	1	True	False	1	True
African	M	false	F	T	False	True	False	True	false	T	False	false	F	F	0	false	F	1	0	T	T	False
American	M	False	True	T	T	1	T	False	True	False	1	0	F	T	T	True	False	True	F	F	false	False
asian	female	F	F	F	False	1	False	F	false	0	false	0	True	1	T	0	F	F	1	1	T	True
African	M	1	False	True	False	F	F	1	1	1	F	1	T	false	1	false	0	false	True	false	T	False
Asian	M	F	T	1	False	1	False	1	0	T	1	false	True	false	False	F	T	True	T	T	0	False
Asian	female	True	T	1	False	0	True	True	T	0	1	False	false	0	false	True	F	F	False	F	T	True
Asian	M	0	false	1	False	1	false	False	F	True	T	1	True	T	0	0	True	false	0	0	True	True
European	female	1	0	T	False	1	false	T	False	0	False	1	True	T	false	1	True	1	1	False	0	False
asian	female	True	F	F	False	T	false	1	F	F	1	T	T	1	T	False	1	0	F	T	True	True
asian	F	1	False	0	False	T	0	False	0	T	F	False	1	T	True	0	0	F	F	True	F	True
asian	F	True	false	1	False	1	True	0	1	True	false	false	0	False	F	false	1	False	False	1	0	False
American	female	1	False	True	True	false	T	T	True	False	false	F	F	T	True	True	false	false	1	T	0	True
European	female	1	F	1	False	1	F	0	false	False	1	True	False	false	false	false	T	false	false	1	0	False
African	F	0	False	True	False	T	1	T	T	T	T	True	False	0	T	True	False	false	False	False	T	False
American	F	1	F	false	false	True	False	F	False	0	F	false	false	True	T	F	1	false	True	1	1	True
American	F	True	0	T	T	F	T	false	false	F	T	False	False	0	0	1	False	False	F	F	1	True
European	M	1	1	0	False	false	False	True	F	1	false	True	false	False	F	1	0	1	false	false	True	True
European	female	False	false	False	False	false	True	0	True	F	1	F	false	1	0	0	0	F	False	True	0	False
American	F	True	1	0	0	T	False	F	1	1	1	F	0	false	F	1	false	false	0	T	F	True
Asian	F	0	True	True	False	false	False	0	T	1	False	1	F	0	True	0	T	True	false	1	0	True
asian	female	F	False	false	False	T	false	0	F	1	false	false	false	True	T	1	0	F	False	0	False	True
African	M	0	T	False	False	0	F	0	T	0	T	false	F	0	1	True	F	False	1	True	T	False
Asian	M	True	True	0	False	1	T	True	0	0	True	False	T	False	True	1	True	1	T	F	false	False
Asian	female	0	True	F	False	False	0	1	false	True	True	0	F	0	False	0	False	false	0	F	0	True
African	F	T	false	0	False	True	false	1	false	False	False	F	T	0	0	1	F	False	false	F	false	False
European	M	T	1	false	False	T	false	false	T	False	1	T	T	0	1	0	True	T	0	false	0	False
asian	M	True	false	T	False	True	1	True	1	F	false	True	T	0	T	1	True	1	T	false	1	False
Asian	female	T	0	True	False	F	True	false	F	T	1	false	True	1	F	T	F	1	false	0	F	True
Asian	M	False	False	1	False	False	F	0	True	T	T	false	False	false	F	T	0	false	false	F	True	True
asian	female	T	True	True	False	F	1	false	false	False	false	1	F	False	0	True	0	F	0	True	0	True
Asian	F	True	false	True	False	1	True	false	F	F	0	T	False	0	F	F	1	1	F	True	False	True
asian	female	false	F	True	False	False	false	false	0	F	0	F	false	T	false	True	false	T	0	F	F	True
European	female	1	false	F	False	T	T	0	false	0	False	False	T	False	True	false	0	True	T	1	True	False
asian	M	False	T	True	False	False	false	False	False	T	False	false	0	False	F	false	1	0	1	1	True	True
Asian	female	F	0	False	False	0	1	false	F	F	0	F	F	T	F	False	F	0	True	0	F	True
European	M	F	false	True	False	True	F	0	false	F	false	False	False	0	True	F	F	T	0	1	false	False
African	female	T	false	False	False	0	False	1	False	False	True	1	1	False	True	T	False	1	True	True	1	False
asian	F	T	0	False	False	T	False	False	False	True	T	True	1	1	false	1	1	false	False	T	False	False
African	M	False	T	False	False	False	True	F	True	T	false	1	0	True	True	1	0	0	True	T	1	True
Asian	M	false	1	0	False	F	True	F	false	True	0	False	false	T	True	false	T	False	false	T	false	True
European	M	1	False	False	False	1	T	false	1	1	T	F	False	F	0	T	false	F	True	True	T	False
European	female	0	T	1	False	false	0	0	false	True	True	True	True	0	True	false	1	false	F	false	T	False
European	F	0	F	false	False	True	True	False	0	F	True	False	false	F	0	F	T	False	T	0	false	True
European	M	F	false	false	False	F	1	1	False	True	T	T	0	1	F	0	False	1	0	1	1	False
asian	female	F	0	T	False	False	T	0	0	False	1	0	1	False	T	false	false	False	T	0	1	True
European	M	F	0	T	False	0	0	false	false	True	0	F	1	false	1	F	F	1	F	True	T	True
asian	M	T	false	1	False	false	False	False	False	0	1	1	0	False	False	False	False	1	T	0	0	True
Asian	female	T	True	False	False	T	false	F	False	0	false	True	T	False	F	F	0	0	True	T	T	False
African	M	false	0	0	False	0	F	True	T	F	0	False	True	false	F	F	True	1	False	True	False	False
African	M	T	T	false	False	T	0	0	T	1	F	True	T	false	1	True	F	True	0	false	False	True
European	F	T	1	False	False	False	False	False	false	F	T	T	false	False	false	1	false	1	T	F	F	False
asian	female	F	F	1	False	F	false	False	0	false	True	False	False	True	False	False	0	F	False	1	1	True
European	F	F	T	0	False	F	F	T	0	True	T	1	True	T	F	F	1	0	1	T	False	False
African	female	F	T	false	False	false	True	false	F	True	T	F	false	F	T	True	F	false	0	false	1	True
African	female	false	True	0	False	0	F	F	0	false	0	False	0	0	T	F	T	T	False	True	false	True
asian	M	False	F	false	False	0	T	T	False	True	T	false	false	false	False	1	False	1	1	False	True	True
American	F	1	1	1	1	False	0	F	True	1	0	false	True	True	T	0	T	0	T	False	0	False
African	F	True	F	false	False	F	1	1	0	False	1	False	True	F	True	F	False	F	0	1	false	False
Asian	M	T	0	False	False	F	F	F	True	False	False	1	T	False	false	F	True	True	1	1	1	True
Asian	female	True	F	True	False	0	1	0	1	false	0	True	T	T	0	0	false	T	T	True	1	True
Asian	M	1	False	1	False	false	T	T	T	0	True	False	True	False	T	false	F	T	True	False	false	True
American	female	T	False	True	True	True	0	True	1	T	True	T	1	T	F	false	false	True	True	F	False	False
American	M	T	0	1	1	false	True	False	True	1	false	0	F	T	T	false	True	T	1	0	T	False
European	M	0	False	false	False	False	1	False	1	F	false	0	F	F	T	False	false	false	T	T	T	True
European	F	True	False	False	False	F	True	1	false	T	1	T	True	0	false	F	False	0	F	True	T	False
American	female	True	false	0	0	True	T	0	false	T	T	1	True	False	0	True	False	false	False	F	True	False
European	M	True	false	0	False	True	0	True	0	0	False	False	1	false	F	True	F	1	F	1	T	True
European	F	0	1	0	False	T	F	false	F	false	0	F	F	True	0	True	0	T	False	0	False	False
European	female	false	1	0	False	False	False	false	False	1	false	T	false	T	0	T	false	1	F	T	0	False
Asian	M	0	True	F	False	True	False	T	0	false	1	F	T	False	True	false	false	True	false	T	false	True
Asian	M	True	False	True	False	T	0	false	True	F	false	F	F	True	False	0	false	0	false	F	F	True
African	F	True	false	false	False	0	false	F	1	False	False	False	False	false	False	0	0	False	True	0	T	False
Asian	female	T	0	1	False	True	T	T	0	0	True	false	1	F	False	false	False	F	False	0	1	True
Asian	F	false	False	false	False	T	False	False	True	1	False	False	T	false	false	F	False	1	F	False	F	False
American	F	False	0	0	0	0	0	T	F	T	false	1	False	1	T	F	True	False	0	F	0	True
European	female	True	false	T	False	false	F	False	1	False	1	T	1	1	T	False	True	T	False	false	false	True
asian	M	False	True	1	False	True	False	false	0	F	T	false	T	1	F	F	T	false	False	false	T	True
Asian	F	false	0	F	False	false	false	T	False	1	False	1	True	1	1	false	F	False	1	1	0	True
European	F	0	False	false	False	T	F	F	False	F	True	0	0	F	T	False	True	True	false	False	1	False
asian	female	1	True	F	False	1	F	1	0	false	T	false	T	1	T	1	T	1	F	F	True	True
European	M	1	T	0	False	True	1	T	F	false	F	T	false	F	T	True	1	F	T	1	False	False
asian	F	False	True	0	False	False	T	0	True	T	False	false	1	F	1	True	0	F	1	false	0	True
African	female	0	1	False	False	0	F	False	F	True	0	0	T	True	1	T	T	0	False	false	False	False
Asian	F	F	1	False	False	0	1	F	True	false	F	0	false	F	F	1	false	False	T	false	0	True
African	female	false	False	1	False	True	False	1	F	False	0	False	false	1	False	false	True	1	0	1	F	False
Asian	female	False	True	1	False	1	0	F	True	false	false	false	1	False	1	T	T	false	0	0	1	True
asian	F	1	1	false	False	0	T	1	0	0	false	F	1	True	1	T	F	T	1	False	false	True
Asian	F	1	False	T	False	false	1	1	1	True	True	True	0	T	False	False	True	1	T	T	0	True
American	M	True	false	0	0	1	F	True	False	T	True	1	T	0	false	false	1	0	1	false	false	True
Asian	M	True	F	false	False	False	False	False	false	1	false	0	false	True	false	T	0	F	F	F	F	True
asian	M	false	T	0	False	false	True	false	False	0	false	0	0	F	false	True	F	True	1	1	T	True
Asian	M	False	False	T	False	0	True	1	False	false	0	false	True	False	false	false	True	F	T	True	True	True
Asian	F	True	1	1	False	false	T	false	True	T	F	1	F	T	false	F	0	0	1	1	True	False
asian	M	False	1	F	False	False	1	F	False	false	1	1	T	T	F	false	False	T	T	1	False	True
asian	M	0	false	T	False	True	False	True	0	0	0	T	0	F	False	false	1	T	F	1	false	False
Asian	F	T	T	False	False	F	True	T	false	False	False	1	F	False	1	1	False	True	False	False	1	True
European	F	1	F	F	False	T	false	T	false	F	True	False	1	False	0	T	True	True	F	F	1	False
American	M	T	T	0	0	false	F	F	1	1	false	F	F	True	1	False	false	1	True	1	True	True
European	F	T	false	false	False	0	F	0	false	0	False	True	False	0	1	False	false	F	False	False	False	False
asian	F	F	True	1	False	1	True	False	false	1	T	0	1	False	F	F	1	F	1	True	false	True
asian	female	1	0	F	False	0	F	T	0	1	1	True	false	1	false	0	1	True	0	false	False	True
American	female	F	True	F	F	True	False	false	True	True	0	T	0	False	0	F	F	F	0	1	F	True
asian	female	True	false	0	False	F	false	True	0	True	False	false	T	1	1	True	F	1	F	T	0	True
American	M	T	False	True	True	True	1	F	0	false	T	false	0	True	F	T	false	T	1	0	F	False
Asian	female	False	false	False	False	F	1	True	True	0	T	1	false	F	0	False	1	false	True	1	false	True
asian	M	F	1	false	False	True	True	True	F	False	T	1	False	F	false	True	F	True	True	True	F	True
American	M	F	False	F	F	True	T	True	False	True	True	False	False	F	T	True	F	1	false	1	false	True
American	F	false	F	0	0	True	True	false	T	1	1	1	True	F	F	T	false	1	False	T	F	True
European	female	F	True	false	False	False	0	1	0	1	0	F	False	false	0	1	T	F	True	False	T	False
Asian	F	False	1	1	False	false	True	True	F	T	False	false	T	0	1	false	False	F	1	True	T	True
Asian	M	0	False	True	False	False	false	T	1	F	F	F	0	1	True	0	F	0	False	T	True	True
asian	female	F	T	T	False	false	0	F	false	1	0	T	T	T	1	False	F	1	True	T	F	True
asian	M	False	0	0	False	False	F	1	T	false	True	1	False	F	1	True	False	T	True	false	False	True
African	F	True	True	0	False	0	false	1	False	0	0	F	1	True	1	1	false	F	1	0	false	False
African	F	T	T	0	False	T	True	F	1	1	false	True	T	false	True	T	1	0	1	True	0	True
asian	F	false	F	0	False	0	T	False	F	True	True	1	false	F	F	0	T	0	1	1	false	False
asian	M	True	False	True	False	True	1	True	T	0	False	F	True	F	0	0	false	False	T	F	False	False
African	female	T	1	F	False	false	True	1	T	F	1	false	1	False	F	F	0	True	F	True	1	False
African	F	0	false	1	False	T	False	0	T	1	0	0	False	F	T	T	false	F	True	0	T	False
African	F	0	F	F	False	False	True	1	false	T	T	F	T	1	0	False	F	1	1	0	1	False
European	F	True	True	false	False	1	0	F	T	T	F	False	T	False	false	F	1	F	True	False	1	False
American	M	1	false	T	T	0	false	1	T	False	False	false	0	F	1	0	false	T	True	false	T	True
asian	F	1	1	F	False	T	false	false	False	F	1	True	True	False	True	F	T	0	False	T	0	False
African	female	0	True	false	False	0	T	false	True	T	F	F	False	0	T	0	0	0	True	False	1	True
African	female	0	True	0	False	F	True	0	1	0	True	1	False	0	True	False	T	True	1	T	0	True
African	F	0	False	T	False	False	T	T	1	False	True	1	0	0	1	0	F	1	false	T	F	False
asian	M	T	1	false	False	True	T	false	false	T	True	True	false	F	false	T	False	F	T	0	0	False
European	F	1	T	False	False	false	F	True	0	F	false	F	False	0	False	0	T	1	1	0	1	True
American	F	false	false	T	T	False	T	False	T	True	0	F	T	F	false	false	T	false	False	False	True	True
African	F	False	T	0	False	T	True	false	1	T	False	False	1	T	False	False	F	false	False	F	false	True
American	M	false	False	T	T	False	F	false	F	false	F	false	false	False	F	F	F	False	True	T	1	True
Asian	F	F	False	0	False	T	T	True	F	1	false	false	T	True	false	1	1	True	1	false	True	True
Asian	M	1	false	0	False	False	F	false	1	False	False	0	True	False	T	1	T	T	0	T	True	True
American	M	false	False	0	0	0	T	false	False	True	T	False	False	1	F	false	F	T	False	True	0	True
African	F	false	0	1	False	False	0	1	T	F	False	0	False	T	T	false	F	1	F	True	False	True
European	M	F	T	0	False	False	True	1	False	T	F	false	false	1	1	0	False	False	False	False	0	True
American	M	false	T	false	false	False	1	True	True	0	false	F	T	False	false	false	1	False	1	0	1	False
African	M	T	false	T	False	True	T	T	false	True	false	True	False	F	False	False	T	F	0	False	False	False
American	M	0	True	T	T	True	T	T	True	1	False	false	T	0	F	1	F	F	false	1	False	True
asian	M	1	T	1	False	True	T	T	false	0	F	0	1	0	0	T	F	false	1	false	1	True
American	F	True	T	False	False	0	T	False	F	True	1	1	F	F	False	1	0	F	F	True	false	True
African	F	F	F	F	False	false	F	false	1	T	0	True	F	0	True	0	True	1	False	F	True	False
European	female	True	0	True	False	True	True	False	1	False	1	T	0	True	F	F	false	F	F	1	False	False
